BLES01337 | Awesome Filemanager
BLES80608 | multiMAN
BLES80610 | lastGAME (Mounts last game played in multiMAN)
BLES80611 | mmCM bdRESET (Reset BD-ROM)
ELEGANZ00 | Elegaz File Manager
GAIA01985 | Gaia Manager
GAMEMNGR1 | Game Sonic Manager
GPKG00123 | Game PKG
HMANAGER4 | Hermes Manager
HMBW00001 | Awesome MountPoint Manager
HOMELAUN1 | USB Game Launcher
HYBRIDMAN | Hybrid Manager
IMANAGER4 | Iris Manager
IMANGER4U | Iris Manager (Unofficial) (Deprecated)
IRIS00069 | Iris Manager (Evilnat's Manager) (Deprecated)
IRISMAN00 | irisMAN
LAUN12345 | Backup Manager
MANAGUNZ0 | ManaGunZ
MONSTERMR | Monster Manager
OMAN46756 | Open Manager/Sexy Manager/Pretty Manager/Flex Manager (Deprecated)
PLAYMNGR1 | Play Manager (Deprecated)
PS3ITAMNG | PS3ITA Manager (Deprecated)
PS3ITAU | 	 PS3 ITA
PS3SFM001 | Simple File Manager
ROGE12345 | Rogero (Deprecated)
SIMPIRIS4 | Simplicity [Iris fork by StevenCapes] (Deprecated)
SISO00123 | Simple NTFS ISO Mounter (by CaptainCPS-X)
TYMANAGER | Thank You Manager
UPDWEBMOD | WebMan Mod Installer by aldotools
PKGLAUNCH | PKG Launcher
PS2L00123 | PS2 Classics Manager
PS2U10000 | PS2 Classics Placeholder
PSID81257 | PSX Launcher 
PSPC66820 | PSP Remasters Launcher
PSPM66820 | PSP Launcher
ALIENBRED | Hazed Alienbreed
AVOIDANCE | Avoidance
BOMB00000 | Bomberman HD
BUBL00002 | Bubble Bobble - Normal Version
BUBL00003 | Bubble Bobble - Parent Version
BUBL00004 | Bubble Bobble - Maniac Version
CASCADEBE | Cascade Beneath
CATA00000 | The Catachtonic
CHEROPHOB | Cherophobe
CUBE66666 | Cubicle Shooter
CUBESCITY | Cubicle Shooter City
CUPH00001 | CupHead
CYLINDERD | Cylinder Dodge
DANCECLON | Dance Clone
DARKSNAKE | Snake
